1	0.000000000	10.0.0.1	340402	32	3c68535443500c000000003e000000006b6b6b01000000003c5354435042013e
3	0.059417200	10.0.0.10	2335442884	84	3c6853544e4340000000003e000000000000000003000200000000000000000000000000410000000000000000000000000000000000000000000000000000000000000000000000000000003c53544e4346003e
4	0.075443200	10.0.0.1	340434	93	3c685354435040000000003e0000000000000000030002000000000000000000e87f0000490a00000000000000000000000000000000000000000000000000000000000000000000000000003c53544350bf013e3c6853544350400000
6	0.123074900	10.0.0.1	340527	75	00003e000000000000000003000200000000001f020000e87f0000510a00000000000000000000000000000000000000000000000000000000000000000000000000003c53544350e8013e
7	0.123315300	10.0.0.10	2335442968	24	3c685354435004000000003e000000003c5354435000003e
8	0.131578300	10.0.0.1	340602	67	3c685354435023020000003e000000006b6b6b010000000036750400d70000000000000000000000000000001a000000774e047200000000000000001c7504001c7504
10	0.185251700	10.0.0.1	340669	500	0036750400ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f0000000000000000c44209007e868d0104750400b5b001004c202f01047504004d1800001908010004750400393a0000ba5102000475040072350000fb81020004750400e1740400589a8e1a000000006f09030ccaffa0082c79f6e453d13519b100000000000000eeffffff0200000010000000c600000a0010000000000000922cfeb030a8113008bc1632a831aab8000080ff59a4d63e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000080ff000080ff000080ff000080ff000080ff000080ff000080ff000080ff000080ff000080ff0000000000000000000080ff000080ff000080ff000000000000803f000000000000f04200000000000000007c78ab44120f18448100000000000000000000f845000080ff000080ff000080ff000080ff000080ff000080ff000080ff000080ff000080ff0000803f0000ab420000a04100c0ca430000000000e0c44600307b4501003c535443508e713e
11	0.186323700	10.0.0.10	2335442992	84	3c6853544e4340000000003e000000000000000053000200000000000000000000000000410000000000000000000000000000000000000000000000000000000000000000000000000000003c53544e4396003e
12	0.197491900	10.0.0.1	341169	9	3c6853544350400000
14	0.261759800	10.0.0.1	341178	3	00003e
16	0.309974400	10.0.0.1	341181	156	0000000000000000530002000000000000000000e87f0000490a00000000000000000000000000000000000000000000000000000000000000000000000000003c535443500f023e3c685354435040000000003e0000000000000000530002000000000008000000e87f0000510a00000000000000000000000000000000000000000000000000000000000000000000000000003c535443501f023e
17	0.310263000	10.0.0.10	2335443076	24	3c685354435004000000003e000000003c5354435000003e
20	0.340897500	10.0.0.1	341337	32	3c68535443500c000000003e000000006b6b6b01000000003c5354435042013e
21	0.369859000	10.0.0.10	2335443100	84	3c6853544e4340000000003e000000000000000003000200000000000000000000000000410000000000000000000000000000000000000000000000000000000000000000000000000000003c53544e4346003e
22	0.388719100	10.0.0.1	341369	93	3c685354435040000000003e0000000000000000030002000000000000000000e87f0000490a00000000000000000000000000000000000000000000000000000000000000000000000000003c53544350bf013e3c6853544350400000
24	0.433752400	10.0.0.1	341462	75	00003e000000000000000003000200000000001f020000e87f0000510a00000000000000000000000000000000000000000000000000000000000000000000000000003c53544350e8013e
25	0.433993200	10.0.0.10	2335443184	24	3c685354435004000000003e000000003c5354435000003e
26	0.439330000	10.0.0.1	341537	156	3c685354435023020000003e000000006b6b6b010000000062760400d70000000000000000000000000000001a000000774e04720000000000000000487604004876040062760400ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f00000000ffffff7f0000000000000000c44209007e868d0130760400b5b001004c202f0130760400
